BaseUrl,IsInStock,MPN,Model,PriceIncTax,QuantityAvailable,SKU,ShopSourceID,Title,Url
umart.com.au,true,MV7N2ZA/A,MV7N2ZA/A,195.0,Null,50666,,Apple AirPods 2nd Gen Wireless Earphones,https://www.umart.com.au/https://www.umart.com.au/Apple-AirPods-2nd-Gen-Wireless-Earphones_50666G.html
umart.com.au,true,MP7P2X/A,MP7P2X/A,255.0,Null,40199,,Apple TV 4K 64GB,https://www.umart.com.au/https://www.umart.com.au/Apple-TV-4K-64GB_40199G.html
umart.com.au,true,MGNT3X/A,MGNT3X/A,"1,299.0",Null,57507,,Apple Mac Mini 2020 - M1 512GB - Silver (MGNT3X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-Mac-Mini-2020---M1-512GB---Silver--MGNT3X-A_57507G.html
umart.com.au,true,MGNA3X/A,MGNA3X/A,"1,759.0",Null,57537,,Apple 13in MacBook Air - Apple M1 512GB - Silver (MGNA3X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-13in-MacBook-Air---Apple-M1-512GB---Silver--MGNA3X-A_57537G.html
umart.com.au,true,MU8H2ZA/A,MU8H2ZA/A,279.0,Null,48271,,Apple Smart Keyboard Folio for 12.9-inch iPad Pro (3rd Generation),https://www.umart.com.au/https://www.umart.com.au/Apple-Smart-Keyboard-Folio-for-12-9-inch-iPad-Pro--3rd-Generation_48271G.html
umart.com.au,true,MRMF2ZA/A,MRMF2ZA/A,209.0,Null,43334,,Apple Magic Trackpad 2 - Space Grey,https://www.umart.com.au/https://www.umart.com.au/Apple-Magic-Trackpad-2---Space-Grey_43334G.html
umart.com.au,true,MXK22FE/A,MXK22FE/A,59.0,Null,57853,,Apple Lightning to 3.5mm Audio Cable 1.2m,https://www.umart.com.au/https://www.umart.com.au/Apple-Lightning-to-3-5mm-Audio-Cable-1-2m_57853G.html
umart.com.au,true,MHK33X/A,MHK33X/A,"2,069.0",Null,56797,,Apple 21.5in iMac 2020 - Retina 4K 3.0GHz 8th Gen Intel i5 256GB (MHK33X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-21-5in-iMac-2020---Retina-4K-3-0GHz-8th-Gen-Intel-i5-256GB--MHK33X-A_56797G.html
umart.com.au,true,MGNE3X/A,MGNE3X/A,"1,759.0",Null,57503,,Apple 13in MacBook Air - Apple M1 512GB - Gold (MGNE3X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-13in-MacBook-Air---Apple-M1-512GB---Gold--MGNE3X-A_57503G.html
umart.com.au,true,MXH02X/A,MXH02X/A,278.0,Null,59271,,Apple TV 4K 64GB,https://www.umart.com.au/https://www.umart.com.au/Apple-TV-4K-64GB_59271G.html
umart.com.au,true,MYDC2X/A,MYDC2X/A,"2,068.0",Null,57499,,Apple 13in MacBook Pro  - Apple M1 Chip 512GB - Silver (MYDC2X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-13in-MacBook-Pro----Apple-M1-Chip-512GB---Silver--MYDC2X-A_57499G.html
umart.com.au,true,MUFG2ZA/A,MUFG2ZA/A,62.0,Null,48273,,Apple USB-C to SD Card Reader,https://www.umart.com.au/https://www.umart.com.au/Apple-USB-C-to-SD-Card-Reader_48273G.html
